name,shared name,type,avgExpression
MAPK3,MAPK3,NeuroDev,0.0705023326061009
BACE2,BACE2,HSA21gene,2.25829294270263
CDK2,CDK2,None,-0.15365076430708
TP53,TP53,NeuroDev,-0.173648643550085
AKT1,AKT1,NeuroDev,-0.0323540500326005
MYC,MYC,GeneralTF,0.419796940702092
GSK3B,GSK3B,NeuroDev,0.0458953188157226
STAT3,STAT3,NeuroDev,-0.101429880817253
SIRT1,SIRT1,None,-0.171724500172368
PRKACA,PRKACA,NeuroDev,0.0459622210055297
AR,AR,GeneralTF,-0.339977118911973
FOXO1,FOXO1,GeneralTF,-0.0083718555889813
ESR1,ESR1,GeneralTF,0.0
KAT2B,KAT2B,None,0.328793038064756
HMGN1,HMGN1,HSA21gene,0.465510958716466
SRC,SRC,NeuroDev,-0.0428471829072877
CDK1,CDK1,None,-0.15490979691542
E2F4,E2F4,GeneralTF,0.0575742537614502
CDKN2A,CDKN2A,None,0.0
MDM2,MDM2,GeneralTF,-0.0969684137070954
CDK6,CDK6,NeuroDisease,0.429641089091188
ZNF225,ZNF225,GeneralTF,0.0
BACH1,BACH1,HSA21TF,0.730920634333343
MAPK8,MAPK8,None,0.0368909683300027
NCOR2,NCOR2,NeuroDev,-0.0769815510092634
NRIP1,NRIP1,HSA21gene,0.401479191969281
TIAM1,TIAM1,HSA21gene,0.749437566349536
CSK,CSK,NeuroDev,0.0442112768021814
NFKB1,NFKB1,GeneralTF,-0.296044343759716
DAXX,DAXX,None,0.0197053834882643
PTPN6,PTPN6,None,0.0
RUNX1,RUNX1,HSA21TF,0.654284266741855
CDK5,CDK5,NeuroDev,0.152059581712372
DYRK1A,DYRK1A,HSA21gene,0.673850085043316
DSCAM,DSCAM,HSA21gene,1.01094467786949
CASP8,CASP8,None,0.0
BRCA1,BRCA1,NeuroDisease,-0.0372214574573613
TTC3,TTC3,HSA21gene,0.609639247666598
APP,APP,HSA21gene,0.696731563295763
ID2,ID2,NeuroDev,-0.387088454160459
DIP2A,DIP2A,HSA21gene,0.596539219699991
ASAP1,ASAP1,None,0.207058968085867
VAV3,VAV3,None,-0.0873394603303047
ITGB2,ITGB2,HSA21gene,0.0
PSAP,PSAP,NeuroDisease,0.137289394251233
SIK1,SIK1,HSA21gene,0.0
SUMO3,SUMO3,HSA21gene,0.345752489264753
CEBPA,CEBPA,GeneralTF,0.0
GAPDH,GAPDH,None,-0.313758923657748
HGF,HGF,None,0.0
CBS,CBS,HSA21gene,0.0
IFNGR2,IFNGR2,HSA21gene,0.614867772688703
HDAC4,HDAC4,NeuroDisease,-0.163113849120426
FOS,FOS,NeuroDev,-0.68318990633384
S100B,S100B,HSA21gene,0.0
FOXO3,FOXO3,GeneralTF,-0.0237688365126337
SOD2,SOD2,NeuroDev,-0.200030657205418
MORC3,MORC3,HSA21gene,0.580910146978382
ERG,ERG,HSA21TF,0.0
GABPA,GABPA,HSA21TF,0.601451678662171
EBF1,EBF1,GeneralTF,1.07048025303325
ETS2,ETS2,HSA21TF,0.417956594380445
MAFK,MAFK,GeneralTF,0.0
PKNOX1,PKNOX1,HSA21TF,0.53000727131577
TCF12,TCF12,NeuroDisease,0.0198461693368645
CTBP2,CTBP2,GeneralTF,-0.205260156737087
TMPRSS2,TMPRSS2,HSA21gene,0.0
NEUROG2,NEUROG2,GeneralTF,-1.68836546464389
