name,shared name,type,avgExpression
RPL6,RPL6,GeneralTF,-0.264458251563538
NAP1L1,NAP1L1,NeuroDev,-0.267904181331102
EBF1,EBF1,GeneralTF,1.07048025303325
LHX1,LHX1,NeuroDev,-3.50552982628037
YBX1,YBX1,GeneralTF,-0.0993529502217044
NR2F2,NR2F2,NeuroDev,-0.647889433663667
ZBTB20,ZBTB20,NeuroDisease,0.580962596823286
SOX4,SOX4,NeuroDisease,0.213148993687883
DLX2,DLX2,NeuroDev,0.899707200698293
HIVEP3,HIVEP3,NeuroDisease,0.134553010358262
BCL11B,BCL11B,NeuroDisease,0.56061629512928
DLX1,DLX1,NeuroDev,0.697970281981891
NEUROD2,NEUROD2,NeuroDev,-1.04930067785261
LHX5,LHX5,NeuroDev,-2.83858872449893
NR2F1,NR2F1,NeuroDisease,-0.2490252502863
EEF1D,EEF1D,GeneralTF,-0.337480994511505
NFIB,NFIB,NeuroDisease,-0.143693766511392
DLX5,DLX5,NeuroDev,1.15915726089122
CELF4,CELF4,NeuroDisease,0.137738268990462
GLI3,GLI3,NeuroDisease,-0.769269493553642
ZNF93,ZNF93,GeneralTF,-0.397482906004653
ID1,ID1,NeuroDev,-0.992260582943818
NHLH1,NHLH1,NeuroDev,-1.98077368104369
NEUROG1,NEUROG1,NeuroDev,-1.54948793428076
ESRRG,ESRRG,GeneralTF,0.143921028368822
HES4,HES4,NeuroDev,-0.478374831981653
MEIS2,MEIS2,NeuroDisease,0.426455433008864
EOMES,EOMES,NeuroDev,-1.88170592124081
TFAP2C,TFAP2C,GeneralTF,-1.47974648001346
PBX1,PBX1,NeuroDisease,0.460865806650888
SOX5,SOX5,NeuroDisease,-0.439349918556866
SOX11,SOX11,NeuroDisease,0.236587078663327
TCF4,TCF4,NeuroDisease,-0.121605040496533
TBR1,TBR1,NeuroDisease,-1.85224361082226
FOXP2,FOXP2,NeuroDisease,1.17132210665554
EBF2,EBF2,GeneralTF,-2.57030558109689
LHX2,LHX2,NeuroDev,-0.876500588066355
CERS6,CERS6,GeneralTF,0.321180004311771
GLIS3,GLIS3,NeuroDisease,-1.10222406127876
EMX2,EMX2,NeuroDisease,-2.12188265128313
HES1,HES1,NeuroDev,-1.15141974049029
SP8,SP8,GeneralTF,0.358383383159319
NEUROG2,NEUROG2,GeneralTF,-1.68836546464389
EGR1,EGR1,GeneralTF,-0.429350052402976
PAX6,PAX6,NeuroDisease,-0.460448956574269
ETFB,ETFB,NeuroDisease,-0.329411366146832
ID4,ID4,NeuroDev,-0.403826429607414
BCL11A,BCL11A,NeuroDisease,0.154021580634573
