name,shared name,type,avgExpression
GSK3B,GSK3B,NeuroDev,0.0458953188157226
CTNNB1,CTNNB1,NeuroDisease,0.0014546946789975
CDK2,CDK2,None,-0.15365076430708
CDK6,CDK6,NeuroDisease,0.429641089091188
RUNX1,RUNX1,HSA21TF,0.654284266741855
APP,APP,HSA21gene,0.696731563295763
MAPK8,MAPK8,None,0.0368909683300027
TCF3,TCF3,NeuroDev,-0.191205395293599
ID2,ID2,NeuroDev,-0.387088454160459
DYRK1A,DYRK1A,HSA21gene,0.673850085043316
CBS,CBS,HSA21gene,0.0
BACH1,BACH1,HSA21TF,0.730920634333343
ZNF225,ZNF225,GeneralTF,0.0
ETS2,ETS2,HSA21TF,0.417956594380445
TCF7,TCF7,GeneralTF,-0.248763129172905
