name,shared name,type,avgExpression
CDK2,CDK2,None,-0.15365076430708
MYC,MYC,GeneralTF,0.419796940702092
GSK3B,GSK3B,NeuroDev,0.0458953188157226
APP,APP,HSA21gene,0.696731563295763
SIM2,SIM2,HSA21TF,0.0
CDK1,CDK1,None,-0.15490979691542
DYRK1A,DYRK1A,HSA21gene,0.673850085043316
CTNNB1,CTNNB1,NeuroDisease,0.0014546946789975
CBS,CBS,HSA21gene,0.0
ARNT,ARNT,GeneralTF,0.4455658563335
ZNF225,ZNF225,GeneralTF,0.0
ETS2,ETS2,HSA21TF,0.417956594380445
FLI1,FLI1,GeneralTF,0.0
ID2,ID2,NeuroDev,-0.387088454160459
