name,shared name,type,avgExpression
AKT1,AKT1,NeuroDev,-0.0323540500326005
RBL1,RBL1,None,0.164054262360685
E2F4,E2F4,GeneralTF,0.0575742537614502
RBL2,RBL2,None,0.143318197899732
BACE2,BACE2,HSA21gene,2.25829294270263
CDK2,CDK2,None,-0.15365076430708
TRRAP,TRRAP,NeuroDisease,-0.0659282042284878
PAK1,PAK1,NeuroDisease,-0.169458234967273
HRAS,HRAS,NeuroDisease,0.0476255064252693
TIAM1,TIAM1,HSA21gene,0.749437566349536
DAPK1,DAPK1,None,0.151992349436749
MAPK8,MAPK8,None,0.0368909683300027
MAPK3,MAPK3,NeuroDev,0.0705023326061009
MAP2K1,MAP2K1,NeuroDisease,-0.0745662686298918
MAPK1,MAPK1,NeuroDisease,-0.0641135346371894
SRC,SRC,NeuroDev,-0.0428471829072877
RAF1,RAF1,NeuroDisease,0.140718769468375
TP53,TP53,NeuroDev,-0.173648643550085
STAT1,STAT1,GeneralTF,-0.194323256277566
EIF2AK2,EIF2AK2,NeuroDisease,0.0120688056897928
BCL2,BCL2,NeuroDev,-0.404613566907568
AXIN1,AXIN1,None,-0.0423944912933535
GSK3B,GSK3B,NeuroDev,0.0458953188157226
PLK1,PLK1,None,0.0490432923397091
PTK2,PTK2,NeuroDev,0.000107594121696
CCND1,CCND1,NeuroDev,-2.02205551407771
MYC,MYC,GeneralTF,0.419796940702092
HIF1A,HIF1A,NeuroDev,0.272440223650352
CDK1,CDK1,None,-0.15490979691542
WEE1,WEE1,NeuroDev,-0.277296221835673
MAP2K2,MAP2K2,NeuroDisease,-0.154902678062737
CTNNB1,CTNNB1,NeuroDisease,0.0014546946789975
CHUK,CHUK,None,-0.287534552545625
PDPK1,PDPK1,None,-0.0880332581418714
CREBBP,CREBBP,NeuroDisease,-0.0271907807650148
PRKACA,PRKACA,NeuroDev,0.0459622210055297
EGFR,EGFR,NeuroDev,1.36749818355558
BORA,BORA,None,-0.172779777596449
AURKA,AURKA,NeuroDev,-0.327420337406742
RELA,RELA,GeneralTF,0.0623796234779442
PPP1CA,PPP1CA,None,-0.0882766821246346
AR,AR,GeneralTF,-0.339977118911973
ESR1,ESR1,GeneralTF,0.0
ERBB2,ERBB2,NeuroDev,-0.255006976627321
RARA,RARA,NeuroDev,0.355714009864935
ZNF225,ZNF225,GeneralTF,0.0
CDC42,CDC42,NeuroDisease,0.135178991776851
TYK2,TYK2,None,0.0662680041726459
PIAS1,PIAS1,None,0.0854157500566968
JAK1,JAK1,None,0.0220278810899778
MAPK9,MAPK9,None,0.135068983717077
CCND2,CCND2,NeuroDisease,-0.197578486149076
CDK6,CDK6,NeuroDisease,0.429641089091188
CCND3,CCND3,None,0.107238263713409
CDK5,CDK5,NeuroDev,0.152059581712372
JUN,JUN,NeuroDev,-0.286281020169732
ATF2,ATF2,NeuroDev,0.0147818710441326
CD28,CD28,None,0.0
PRKCQ,PRKCQ,NeuroDev,-0.971921891618854
VAV1,VAV1,None,0.0
RHOA,RHOA,NeuroDev,-0.248492788244318
PTPN6,PTPN6,None,0.0
IFNAR2,IFNAR2,HSA21gene,0.697366973528535
IL10RA,IL10RA,None,0.0
IFNAR1,IFNAR1,HSA21gene,0.737153966792477
JAK2,JAK2,NeuroDev,0.0087607456294986
PTPN11,PTPN11,NeuroDisease,-0.134405826738663
SMAD3,SMAD3,GeneralTF,-0.394794958854225
MAP3K7,MAP3K7,NeuroDisease,0.0983898578024194
SMAD7,SMAD7,GeneralTF,-0.366500887213326
SMAD4,SMAD4,NeuroDisease,0.0478346914113743
LRP5,LRP5,None,0.12731875632959
FBXW11,FBXW11,NeuroDisease,-0.120663592380024
MAP3K1,MAP3K1,None,0.264597204058213
DUSP3,DUSP3,None,-0.241718605993921
SMAD2,SMAD2,GeneralTF,0.020305321794319
IFNGR2,IFNGR2,HSA21gene,0.614867772688703
ARRB1,ARRB1,None,0.322248873595616
MAP2K3,MAP2K3,None,-0.276273504590539
PPP2CA,PPP2CA,NeuroDisease,0.0772523338507331
SIK1,SIK1,HSA21gene,0.0
