source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
BACE2,APP,True,True,False,True,True,False,15,HPRD-phos:10936190;HPRD-phos:15178331;HPRD-phos:8764598;HPRD:10605825;HPRD:10931940;HPRD:10936190;HPRD:15178331;HPRD:8764598;KEA:10936190;KEA:15178331;KEA:8764598;SPIKE:20418918;iPTMnet:10936190;iPTMnet:15178331;iPTMnet:8764598,HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoSite_KEA;PhosphoSite_MIMP;SPIKE;Wang;iPTMnet;phosphoELM_MIMP,post_translational,10605825;10931940;10936190;15178331;20418918;8764598,6,12,7
RAC1,TIAM1,True,True,False,False,False,False,11,Adhesome:10212259;Adhesome:10592173;Adhesome:11130063;Adhesome:11595749;Adhesome:7753201;Adhesome:8910315;BioGRID:11130063;HPRD:11130063;HPRD:11595749;Lit-BM-17:11130063;Lit-BM-17:11595749,Adhesome;BioGRID;HPRD;Lit-BM-17,post_translational,10212259;10592173;11130063;11595749;7753201;8910315,6,4,4
TIAM1,RAC1,True,True,False,True,True,False,19,ACSN:11955434;ACSN:12829230;ACSN:15611338;ACSN:15967165;Adhesome:10212259;Adhesome:10592173;Adhesome:11130063;Adhesome:11595749;Adhesome:7753201;Adhesome:8910315;BioGRID:11130063;CA1:10212259;HPRD:11130063;HPRD:11595749;Lit-BM-17:11130063;Lit-BM-17:11595749;SIGNOR:12393875;SIGNOR:32203420;SPIKE:11130063,ACSN;Adhesome;BioGRID;CA1;HPRD;Lit-BM-17;SIGNOR;SPIKE;Wang,post_translational,10212259;10592173;11130063;11595749;11955434;12393875;12829230;15611338;15967165;32203420;7753201;8910315,12,9,9
SMAD3,NOTCH1,True,True,False,True,True,False,6,HPRD:14638857;NetPath:14638857;SIGNOR:14638857;SignaLink3:14638857;SignaLink3:18988627;SignaLink3:23331499,HPRD;NetPath;SIGNOR;SignaLink3;Wang,post_translational,14638857;18988627;23331499,3,5,5
CDK5,APP,True,True,False,True,True,False,36,HPRD-phos:10936190;HPRD-phos:15178331;HPRD-phos:8764598;HPRD:10936190;HPRD:15178331;HPRD:8764598;KEA:10936190;KEA:15178331;KEA:8764598;PhosphoSite:10341243;PhosphoSite:10936190;PhosphoSite:11146006;PhosphoSite:11517218;PhosphoSite:14557249;PhosphoSite:14970211;PhosphoSite:15178331;PhosphoSite:15944381;PhosphoSite:16223726;PhosphoSite:16554819;PhosphoSite:16705182;PhosphoSite:17085446;PhosphoSite:17459339;PhosphoSite:18833287;PhosphoSite:21947912;PhosphoSite:24610780;ProtMapper:10936190;ProtMapper:15917097;ProtMapper:19090995;ProtMapper:19455415;ProtMapper:22112898;SIGNOR:10936190;dbPTM:11877420;dbPTM:8131745;iPTMnet:10936190;iPTMnet:15178331;iPTMnet:8764598,HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;Wang;dbPTM;iPTMnet;phosphoELM_MIMP,post_translational,10341243;10936190;11146006;11517218;11877420;14557249;14970211;15178331;15917097;15944381;16223726;16554819;16705182;17085446;17459339;18833287;19090995;19455415;21947912;22112898;24610780;8131745;8764598,23,19,11
DYRK1A,NOTCH1,True,False,True,True,False,True,1,SIGNOR:19383720,SIGNOR,post_translational,19383720,1,1,1
CTBP1,NRIP1,True,False,True,True,False,True,6,HPRD:11509661;HPRD:15060175;LMPID:11509661;Lit-BM-17:15060175;Lit-BM-17:18374649;Lit-BM-17:24722188,HPRD;LMPID;Lit-BM-17;Wang,post_translational,11509661;15060175;18374649;24722188,4,4,4
APP,NOTCH1,True,True,False,True,True,False,1,BioGRID:16175584,BioGRID;Wang,post_translational,16175584,1,2,2
NOTCH1,APP,True,True,False,True,True,False,1,BioGRID:16175584,BioGRID;Wang,post_translational,16175584,1,2,2
SMAD3,HEY1,True,True,False,True,True,False,4,ACSN:11074002;ACSN:14976548;ACSN:9389648;HPRD:15231748,ACSN;HPRD,post_translational,11074002;14976548;15231748;9389648,4,2,2
CTBP1,HEY1,True,False,True,True,False,True,0,,Wang,post_translational,,,1,1
APP,CAPN1,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
RBFOX2,HEY1,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
HEY1,RBFOX2,True,False,True,True,False,True,0,,Wang,post_translational,,,1,1
RAC1,CDK5,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
NRIP1,SMAD3,True,False,True,True,False,True,0,,Wang,post_translational,,,1,1
CDK5,RBFOX2,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
CDK5,SMAD3,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
NOTCH1,HEY1,True,True,False,True,True,False,2,ACSN:14976548;ACSN:21828089,ACSN;Wang,post_translational,14976548;21828089,2,2,2
RUNX1,CTBP1,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
CAPN1,CDK5,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
CAPN1,RAC1,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
BACE2,NOTCH1,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
NOTCH1,HEY1,True,True,False,True,True,False,1,SIGNOR:11486044,KEGG-MEDICUS;SIGNOR,transcriptional,11486044,1,2,2
